freq,period,carry_long,carry_short,spot_long,spot_short,total,gross,resid,universe,tenor,signal,n_buckets,weighting,max_leg_share,vol_window,rebal,vol_target,lev_cap,extra_lag,costs,cost_multiple,exposure,weight_overlay,external_legs,window_start,window_end,n_currencies
ME,2011-06-30,0.011579334062517738,-5.812436905408814e-05,-0.004741656237221337,-0.014915747303996866,-0.008136193847754552,-0.008136193847754557,4.9873299934333204e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2011-07-31,0.01502648039733654,-3.356887796329047e-05,0.012599049942611979,-0.0790458443260642,-0.05145388286407897,-0.051453882864078974,-4.336808689942018e-19,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2011-08-31,0.013097530678182622,0.0005062001666670316,-0.044358430225301435,-0.0013990443891131292,-0.0321537437695649,-0.03215374376956491,-1.734723475976807e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2011-09-30,0.006201413805831305,-0.00019045408680653966,-0.086927864890843,0.05908280112538393,-0.021834104046434308,-0.021834104046434308,1.0842021724855044e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2011-10-31,0.004755420291114506,1.948928735905295e-05,0.03747106158129869,-0.01141088755261843,0.030835083607153826,0.030835083607153826,-3.903127820947816e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2011-11-30,0.007471281670277918,-0.00018382469359657752,-0.05350537237169764,0.013346260775219517,-0.032871654619796783,-0.032871654619796783,-1.8973538018496328e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2011-12-31,0.006304954995337335,0.0003387200103980358,-0.019021132306518064,0.010418769077256664,-0.0019586882235260276,-0.00195868822352603,1.1926223897340549e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2012-01-31,0.008571711707149892,0.00012029470287429136,0.07033675339958076,-0.031439713522457176,0.04758904628714777,0.04758904628714777,6.776263578034403e-19,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2012-02-29,0.008109686365969572,0.0001237549028774232,0.028822140677605402,0.015772978269601768,0.052828560216054164,0.05282856021605417,-6.884683795282953e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2012-03-31,0.014246703549987224,0.0002143868441186515,-0.07168129721211125,0.008638292682825014,-0.04858191413518036,-0.04858191413518036,2.168404344971009e-19,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
