owner,workstream,variant,basis,window_set,window,start,end,n_obs,cum_return,max_drawdown,worst_obs,hit_rate,sharpe,ann_return,ann_vol,share_pnl,note
Cesare,P4-B tail forecast (null),tail forecast (binary p80 gate),daily_net,ERAS,GFC 2008-09,2008-09-01,2009-06-30,217.0,-0.0591311403556239,-0.1781896476585691,-0.0402511930187669,0.5161290322580645,-0.4301207436021675,-0.0607782268406118,0.1413050352596515,-0.0586535567971464,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (binary p80 gate),daily_net,ERAS,calm 2017-19,2017-01-01,2019-12-31,782.0,0.059190074061187,-0.1620708607600838,-0.0363732860181878,0.5230179028132992,0.2304649291305438,0.0239238189499788,0.103806765915466,0.0832001010604809,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (binary p80 gate),daily_net,ERAS,covid 2020,2020-01-01,2020-12-31,262.0,-0.1617583584544407,-0.2677320649649821,-0.0381055203606018,0.4885496183206106,-1.2550201623452142,-0.161396328673619,0.128600586282234,-0.1880535500749039,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (binary p80 gate),daily_net,ERAS,euro crisis 2011-12,2011-07-01,2012-12-31,392.0,-0.0509508740301408,-0.1896354671913932,-0.0490595446782844,0.5153061224489796,-0.2239847256138321,-0.0265682134044402,0.1186161839010663,-0.0463164230050775,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (binary p80 gate),daily_net,ERAS,pre-crisis 2007-08,2007-05-01,2008-08-31,349.0,0.2391575666316192,-0.0841491173492076,-0.0268770482285155,0.5501432664756447,1.438267029443672,0.1611410531241289,0.1120383418553779,0.2501026067106441,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (binary p80 gate),daily_net,ERAS,recent 2024-26,2024-01-01,2026-06-30,652.0,0.49122097798117,-0.0771442499967941,-0.0417769719687692,0.5920245398773006,2.059949965369906,0.1574147519787883,0.0764167842059801,0.4564357141981079,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (binary p80 gate),daily_net,ERAS,recovery 2009-11,2009-07-01,2011-06-30,522.0,0.0636320508769976,-0.0925280821694796,-0.0295753008816775,0.5076628352490421,0.3452154865520408,0.034883561540273,0.1010486577200943,0.0809800267232487,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (binary p80 gate),daily_net,ERAS,taper + EM 2013-16,2013-01-01,2016-12-31,1044.0,0.1170833055617144,-0.2297165080349731,-0.0458918102706338,0.5268199233716475,0.2931403616242702,0.0331291409282507,0.1130146007348987,0.1538144959533867,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (binary p80 gate),daily_net,ERAS,tightening 2021-23,2021-01-01,2023-12-31,781.0,0.2495751244675532,-0.1762945995582467,-0.0352670909604092,0.5710627400768246,0.745054580170305,0.0773021252437952,0.103753640741495,0.2684905852312595,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (binary p80 gate),daily_net,STRESS,china_em_2015,2015-06-01,2016-02-29,196.0,-0.0518847845100851,-0.0986856115787623,-0.0291017757743077,0.5255102040816326,-0.552481598730055,-0.062171790056444,0.1125318747255172,-0.0541921070002374,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (binary p80 gate),daily_net,STRESS,covid_2020,2020-02-01,2020-04-30,64.0,-0.1961865010455717,-0.2403792299900937,-0.0381055203606018,0.4375,,,,-0.2391280897485641,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (binary p80 gate),daily_net,STRESS,euro_2011,2011-07-01,2012-12-31,392.0,-0.0509508740301408,-0.1896354671913932,-0.0490595446782844,0.5153061224489796,-0.2239847256138321,-0.0265682134044402,0.1186161839010663,-0.0463164230050775,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (binary p80 gate),daily_net,STRESS,gfc_2008,2008-09-01,2009-06-30,217.0,-0.0591311403556239,-0.1781896476585691,-0.0402511930187669,0.5161290322580645,-0.4301207436021675,-0.0607782268406118,0.1413050352596515,-0.0586535567971464,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (binary p80 gate),daily_net,STRESS,oil_2026,2026-02-01,2026-05-31,85.0,0.0787941981526267,-0.016146854526429,-0.0132925861879848,0.6352941176470588,,,,0.0861370555829155,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (binary p80 gate),daily_net,STRESS,rates_2022,2022-01-01,2022-10-31,216.0,0.2429053598651833,-0.065563890862918,-0.0218801823967604,0.6157407407407407,2.679958005782614,0.2584447458976807,0.0964361177824532,0.2482607438536491,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (binary p80 gate),daily_net,STRESS,semis_2026,2026-04-01,2026-06-30,65.0,0.0550405230934796,-0.0089135866635419,-0.0088509943068855,0.6461538461538462,,,,0.0603326803770411,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (binary p80 gate),daily_net,STRESS,taper_2013,2013-05-01,2013-09-30,109.0,-0.1285559057814608,-0.1905674581609462,-0.0403177730931683,0.4862385321100917,,,,-0.1480490580680524,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (continuous 1-p),daily_net,ERAS,GFC 2008-09,2008-09-01,2009-06-30,217.0,-0.0591311403556239,-0.1781896476585691,-0.0402511930187669,0.5161290322580645,-0.4301207436021675,-0.0607782268406118,0.1413050352596515,-0.0931712024323951,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (continuous 1-p),daily_net,ERAS,calm 2017-19,2017-01-01,2019-12-31,782.0,0.0332948616972441,-0.1545062145648029,-0.035861543994449,0.5230179028132992,0.1570322030633966,0.0153115007521167,0.0975054826552694,0.0845859933514474,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (continuous 1-p),daily_net,ERAS,covid 2020,2020-01-01,2020-12-31,262.0,-0.1788597376133042,-0.2515006811833069,-0.0369054616636409,0.4847328244274809,-1.632160838041787,-0.1831577644452183,0.1122179629459588,-0.3390006775217599,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (continuous 1-p),daily_net,ERAS,euro crisis 2011-12,2011-07-01,2012-12-31,392.0,-0.0509508740301408,-0.1896354671913932,-0.0490595446782844,0.5153061224489796,-0.2239847256138321,-0.0265682134044402,0.1186161839010663,-0.0735736596277562,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (continuous 1-p),daily_net,ERAS,pre-crisis 2007-08,2007-05-01,2008-08-31,349.0,0.2391575666316192,-0.0841491173492076,-0.0268770482285155,0.5501432664756447,1.438267029443672,0.1611410531241289,0.1120383418553779,0.3972881078516421,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (continuous 1-p),daily_net,ERAS,recent 2024-26,2024-01-01,2026-06-30,652.0,0.238180925515633,-0.0517379595827063,-0.0177168217188191,0.5904907975460123,1.8124596411963212,0.0836512634524057,0.0461534489105596,0.385295592815063,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (continuous 1-p),daily_net,ERAS,recovery 2009-11,2009-07-01,2011-06-30,522.0,0.0636320508769976,-0.0925280821694796,-0.0295753008816775,0.5076628352490421,0.3452154865520408,0.034883561540273,0.1010486577200943,0.1286368103627034,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (continuous 1-p),daily_net,ERAS,taper + EM 2013-16,2013-01-01,2016-12-31,1044.0,0.0335260932858791,-0.215846205762527,-0.0403177730931683,0.524904214559387,0.1356769900860386,0.0116697745568548,0.0860114493213223,0.086067047650083,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (continuous 1-p),daily_net,ERAS,tightening 2021-23,2021-01-01,2023-12-31,781.0,0.253998894713753,-0.1330030673081984,-0.0351237542524683,0.5710627400768246,0.8842765435430928,0.0768262688267788,0.0868803649579504,0.4238719875509724,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (continuous 1-p),daily_net,STRESS,china_em_2015,2015-06-01,2016-02-29,196.0,-0.0320031927343912,-0.0754655348866961,-0.0228377133699554,0.5255102040816326,-0.4306404861716179,-0.0379475685823064,0.0881189061429391,-0.0525428912376349,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (continuous 1-p),daily_net,STRESS,covid_2020,2020-02-01,2020-04-30,64.0,-0.1896269885045584,-0.232930812143022,-0.0369054616636409,0.4375,,,,-0.3660096275024286,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (continuous 1-p),daily_net,STRESS,euro_2011,2011-07-01,2012-12-31,392.0,-0.0509508740301408,-0.1896354671913932,-0.0490595446782844,0.5153061224489796,-0.2239847256138321,-0.0265682134044402,0.1186161839010663,-0.0735736596277562,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (continuous 1-p),daily_net,STRESS,gfc_2008,2008-09-01,2009-06-30,217.0,-0.0591311403556239,-0.1781896476585691,-0.0402511930187669,0.5161290322580645,-0.4301207436021675,-0.0607782268406118,0.1413050352596515,-0.0931712024323951,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (continuous 1-p),daily_net,STRESS,oil_2026,2026-02-01,2026-05-31,85.0,0.0369517291648795,-0.0087052218595163,-0.0071528888875615,0.6235294117647059,,,,0.0650885168361601,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (continuous 1-p),daily_net,STRESS,rates_2022,2022-01-01,2022-10-31,216.0,0.2215689725705123,-0.0614198454451598,-0.0200447270061918,0.6157407407407407,2.6515591864485906,0.2375918497410286,0.0896045809406393,0.3625427549808936,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),tail forecast (continuous 1-p),daily_net,STRESS,semis_2026,2026-04-01,2026-06-30,65.0,0.0166590524949816,-0.0052705075219083,-0.0045781431255109,0.6307692307692307,,,,0.0294807609530442,source: cesare/outputs/p4_tail_overlay_by_episode.csv
