,start,end,n_days,ann_return,ann_vol,daily_variance,skew,excess_kurtosis,sharpe,max_drawdown,VaR_95,VaR_99,CVaR_95,CVaR_99,hit_rate,best_day,worst_day,autocorr_1d,cagr,sortino,calmar,info_ratio,avg_monthly_turnover,ann_cost_drag,base,alpha_vs_carry_ann,t_alpha_vs_carry
ALL_filter63_gross,2007-05-01,2026-06-30,5001,0.06467755567468308,0.11622061925603996,5.360012833435479e-05,-0.6632839156896722,7.330350106077409,0.5565067204830076,-0.40016755998404485,0.011281574269390282,0.020976868612347103,0.017802019829676795,0.029735761371540825,0.5374925014997001,0.05311981906054684,-0.06849359403970506,0.011743806951623222,0.059605549845351824,0.7654522560324392,0.1489514788448328,0.41588349785505163,0.9943519020637074,,ALL_carry_gross,0.01258009225062169,0.6753949662661659
ALL_filter63_net,2007-05-01,2026-06-30,5001,0.043380572216424974,0.11633218091297644,5.370308061892649e-05,-0.6577338116054289,7.266766793482123,0.37290259561863015,-0.5059016145097538,0.011434371522098457,0.020976868612347103,0.017905410282673413,0.029735761371540825,0.5306938612277544,0.05311981906054684,-0.06849359403970506,0.00991423920260741,0.03726797670156157,0.5091282110939401,0.07366645140612224,0.24166349628065426,0.9943519020637074,0.02126721531045305,ALL_carry_net,0.004716469935370295,0.25388750189122755
ALL_blend63_gross,2007-05-01,2026-06-30,5001,0.03948465982254054,0.10902785227978982,4.7170922907712984e-05,-0.3950582327386863,2.8027072946190827,0.36215204644418825,-0.3938737195357006,0.011126577763982013,0.018540919594236906,0.01627645810988867,0.025660838500235282,0.533493301339732,0.046487314091578066,-0.0391587347445195,-0.014209306456470883,0.03409797311309326,0.5001412208425117,0.08657082567805753,0.19305060310531974,1.5058055476146988,,ALL_carry_gross,0.0007981634586051809,0.03998941033845125
ALL_blend63_net,2007-05-01,2026-06-30,5001,0.007606701256048095,0.10971669211827129,4.776885924355369e-05,-0.40939028982138065,2.8203177505224897,0.06933039184090876,-0.5600699011361421,0.011392700501760888,0.018911129388095933,0.016569245066093995,0.025966071528585644,0.5252949410117976,0.046487314091578066,-0.0391587347445195,-0.015602962819519827,0.001578333421204059,0.09441941655935186,0.0028181007727826404,-0.046021070825678634,1.5058055476146988,0.03183340071705846,ALL_carry_net,-0.021213761465373307,-1.057566108648955
ALL_mom252_gross,2007-09-03,2026-06-30,4912,0.022574381633054728,0.11005355364928121,4.806263758267944e-05,-0.024598043120478013,3.9292256994547023,0.20512178738902692,-0.44456669841874774,0.010674683067117736,0.018673835559247707,0.015572340100390509,0.02449177605479957,0.5093648208469055,0.05951804664255691,-0.044180964500458136,-0.03242701102416704,0.016655282777869207,0.29026173410388323,0.03746408095142837,0.05879066626113762,1.0687542193413997,,ALL_carry_gross,0.013840630714882037,0.5586085555780224
ALL_mom252_net,2007-09-03,2026-06-30,4912,-0.0021587896447436395,0.11054168220742323,4.848993454463075e-05,-0.02972968118392446,3.86695767612825,-0.01952919117598402,-0.521850848553122,0.0108991928357527,0.01873237260112209,0.015813368454824665,0.024577372452890215,0.5030537459283387,0.05951804664255691,-0.044180964500458136,-0.03362309035594847,-0.008235150286645343,-0.027324101556882047,-0.015780658993806432,-0.10366245497116786,1.0687542193413997,0.024697974652682576,ALL_carry_net,-0.008687998824765255,-0.35115951544245694
ALL_filter252_gross,2007-05-01,2026-06-30,5001,0.04611269614282384,0.11935613940149847,5.653130163821402e-05,-1.091520700877485,9.050764683093929,0.3863454060599828,-0.3842735794167641,0.01141034835391082,0.023433720032313754,0.019319486397754985,0.03381707429029004,0.5390921815636872,0.042851572666524604,-0.08358464199654408,-0.02426660843111776,0.03971655741585112,0.5133699775428603,0.10335490011083096,0.24977614506663218,0.7635830813870027,,ALL_carry_gross,-0.005486313488018957,-0.29331113253530194
ALL_filter252_net,2007-05-01,2026-06-30,5001,0.028897421387606797,0.11957642959863699,5.67401687125309e-05,-1.0863602703625215,8.953115762195496,0.24166486225255374,-0.4408081005247162,0.011630339042821123,0.023433720032313754,0.019457792729636016,0.03381707429029004,0.5348930213957208,0.042851572666524604,-0.08358464199654408,-0.02736812573043434,0.02194544150198774,0.3192917857231062,0.049784569466543305,0.11641565275362095,0.7635830813870027,0.017410966396410828,ALL_carry_net,-0.00944661338342653,-0.507540784270661
ALL_blend252_gross,2007-09-03,2026-06-30,4912,0.043053531082624566,0.11164699034593827,4.946448592581758e-05,-0.36275873969483385,4.211318076281488,0.3856219585429323,-0.36498589859202335,0.01078635366290379,0.019424756713824598,0.016759124651855535,0.027456431347795157,0.5244299674267101,0.046127010061625257,-0.047964146194797344,-0.01463042374210268,0.037494860879713876,0.5357869234185235,0.10272961510117179,0.21515046299191667,1.0906911959340033,,ALL_carry_gross,0.004012422500542993,0.2013168819149352
ALL_blend252_net,2007-09-03,2026-06-30,4912,0.017822073371327848,0.11209090779014941,4.985861749690387e-05,-0.36988379786793835,4.1675702715554195,0.15899660126487136,-0.49485736484709564,0.011003050398087641,0.019500771856139337,0.016986164191652282,0.027619142682787912,0.5173045602605864,0.046127010061625257,-0.047964146194797344,-0.01849611201334858,0.011596085814467916,0.21853475512949927,0.02343318830477738,0.030674848113234083,1.0906911959340033,0.025195551997944602,ALL_carry_net,-0.010653987248412307,-0.5363595797131296
DBHVG10U,2007-05-01,2026-06-30,5001,-0.009265344232093206,0.09029957440630215,3.235719499190198e-05,-1.1364026696250746,19.00789506168283,-0.10260673201408314,-0.39093580264138694,0.008422666997006445,0.01796054176863837,0.014899687565811637,0.02758566987407257,0.3375324935012997,0.050428087264203114,-0.07278140710152492,-0.006686773276636854,-0.013272191848785364,-0.13650263969101845,-0.03394979881379707,,,,,,
FXCTEM8,2007-05-01,2026-06-30,5001,0.012734499259061224,0.09000591334607835,3.2147081100245106e-05,-0.25315402470491133,4.895254767059007,0.14148514009403226,-0.3207736475898004,0.008958598394321449,0.015358261736972523,0.01338070005034299,0.02138682091030412,0.5240951809638073,0.03905460960462204,-0.0439542704461644,0.04486800933979499,0.00871826045862667,0.19571793963331277,0.027178855009235125,,,,,,
